id,office_name,email,role
1,AMBATTUR,deeamb@tnpcb.gov.in,dee
2,ARIYALUR,deeary@tnpcb.gov.in,dee
3,CHENNAI,deechn@tnpcb.gov.in,dee
4,COIMBATORE NORTH,deecbn@tnpcb.gov.in,dee
5,COIMBATORE SOUTH,deecbs@tnpcb.gov.in,dee
6,CUDDALORE,deecud@tnpcb.gov.in,dee
7,DINDIGUL,deedgl@tnpcb.gov.in,dee
8,DHARMAPURI,deedmp@tnpcb.gov.in,dee
9,ERODE,deeerd@tnpcb.gov.in,dee
10,GUMMIDIPOONDI,deegmp@tnpcb.gov.in,dee
11,KUMARAPALAYAM,deekmp@tnpcb.gov.in,dee
12,HOSUR,deehsr@tnpcb.gov.in,dee
13,KARUR,deekar@tnpcb.gov.in,dee
14,M.M. NAGAR,deemmn@tnpcb.gov.in,dee
15,MADURAI,deemdu@tnpcb.gov.in,dee
16,NAGAPATTINAM,deenpm@tnpcb.gov.in,dee
17,NAGERCOIL,deengl@tnpcb.gov.in,dee
18,NAMAKKAL,deenml@tnpcb.gov.in,dee
19,OOTY,deenlg@tnpcb.gov.in,dee
20,PERUNDURAI,deepnd@tnpcb.gov.in,dee
21,PUDUKOTTAI,deepdk@tnpcb.gov.in,dee
22,SALEM,deeslm@tnpcb.gov.in,dee
23,SIVAGANGAI,deesvg@tnpcb.gov.in,dee
24,SRIPERUMBUDUR,deespr@tnpcb.gov.in,dee
25,THANJAVUR,deetnj@tnpcb.gov.in,dee
26,THENI,deeten@tnpcb.gov.in,dee
27,THIRUVALLUR,deetlr@tnpcb.gov.in,dee
28,THIRUVANNAMALAI,deetvm@tnpcb.gov.in,dee
29,TIRUNELVELI,deetnv@tnpcb.gov.in,dee
30,TIRUPPUR NORTH,deetpn@tnpcb.gov.in,dee
31,TIRUPPUR SOUTH,deetps@tnpcb.gov.in,dee
32,TRICHY,deetry@tnpcb.gov.in,dee
33,TUTICORIN,deettn@tnpcb.gov.in,dee
34,VANIYAMBADI,deevbd@tnpcb.gov.in,dee
35,VELLORE,deevlr@tnpcb.gov.in,dee
36,VILLUPURAM,deevpm@tnpcb.gov.in,dee
37,VIRUDHUNAGAR,deevdr@tnpcb.gov.in,dee
38,RAMANATHAPURAM,deermd@tnpcb.gov.in,dee
39,PERAMBLUR,deepmb@tnpcb.gov.in,dee
40,CHENNAI SOUTH,deechs@tnpcb.gov.in,dee
41,TIRUVARUR,deetvr@tnpcb.gov.in,dee
42,RANIPET,deerpt@tnpcb.gov.in,dee
43,TENKASI,deetks@tnpcb.gov.in,dee
44,MANALI,deemnl@tnpcb.gov.in,dee
45,Guindy,jcee3chn@tnpcb.gov.in,jc
46,Guindy,jcee1chn@tnpcb.gov.in,jc
